08/08-19:58:06.840375 ,1,100000122,1,COMMUNITY WEB-MISC mod_jrun overflow attempt,TCP,10.5.13.2,35750,10.5.1.2,8888,00:10:18:72:00:3C,00:16:3E:EF:36:38,0xC42,*****R**,0x1E5A0EBD,0x598C99D9,,0x5A80,62,0,34366,3124,53296,,,,
08/08-20:44:31.615181 ,1,100000122,1,COMMUNITY WEB-MISC mod_jrun overflow attempt,TCP,10.5.13.2,59112,10.5.1.2,8888,00:10:18:72:00:3C,00:16:3E:EF:36:38,0xF2E,*****R**,0x904ABBA1,0xFE258D5A,,0x6600,62,0,34915,3872,32828,,,,
08/08-20:55:00.167975 ,1,1372,5,WEB-ATTACKS /etc/shadow access,TCP,10.5.13.2,53057,10.5.1.2,8888,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x65,***AP***,0xEFF1113F,0x2189BF39,,0xE5,63,0,23719,87,89088,,,,
08/08-22:20:08.928512 ,1,1372,5,WEB-ATTACKS /etc/shadow access,TCP,10.5.13.2,37094,10.5.1.2,8888,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x65,***AP***,0xEBAFD277,0x348B507E,,0xE5,63,0,6310,87,89088,,,,
08/09-02:30:12.749630 ,1,1372,5,WEB-ATTACKS /etc/shadow access,TCP,10.5.13.2,53940,10.5.1.2,8888,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x65,***AP***,0x7EB0E823,0x9C62EF9F,,0xE5,63,0,61361,87,89088,,,,
08/09-02:44:46.078610 ,1,1418,11,SNMP request tcp,TCP,10.5.13.2,34423,10.5.1.2,161,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x3C,******S*,0xCEF72E6,0x0,,0x400,55,0,26264,44,45056,,,,
08/09-17:03:04.897530 ,1,3065,2,IMAP append literal overflow attempt,TCP,10.5.13.2,55227,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x3B5,***AP***,0xDAC30419,0x79D82F16,,0xE5,63,0,51339,935,171020,,,,
08/09-17:03:04.897530 ,1,3065,2,IMAP append literal overflow attempt,TCP,10.5.13.2,55227,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x5E,***A****,0xDAC30442,0x79D82F16,,0x4400,64,0,11037,80,81920,,,,
08/09-17:03:04.897530 ,1,3069,1,IMAP fetch literal overflow attempt,TCP,10.5.13.2,55227,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x3B5,***AP***,0xDAC30419,0x79D82F16,,0xE5,63,0,51339,935,171020,,,,
08/09-17:03:04.897530 ,1,3069,1,IMAP fetch literal overflow attempt,TCP,10.5.13.2,55227,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x6D,***A****,0xDAC3074F,0x79D82F16,,0x4400,64,0,11037,95,97280,,,,
08/09-17:34:23.981586 ,1,3065,2,IMAP append literal overflow attempt,TCP,10.5.13.2,47527,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x3D0,***AP***,0x786C1B94,0x5BE8E556,,0xE5,63,0,60694,962,198668,,,,
08/09-17:34:23.981586 ,1,3065,2,IMAP append literal overflow attempt,TCP,10.5.13.2,47527,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x5F,***A****,0x786C1BA3,0x5BE8E572,,0x4400,64,0,9465,81,82944,,,,
08/09-17:34:23.981586 ,1,3069,1,IMAP fetch literal overflow attempt,TCP,10.5.13.2,47527,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x3D0,***AP***,0x786C1B94,0x5BE8E556,,0xE5,63,0,60694,962,198668,,,,
08/09-17:34:23.981586 ,1,3069,1,IMAP fetch literal overflow attempt,TCP,10.5.13.2,47527,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x70,***A****,0x786C1ED4,0x5BE8E572,,0x4400,64,0,9465,98,100352,,,,
08/09-17:44:03.412259 ,1,3065,2,IMAP append literal overflow attempt,TCP,10.5.13.2,48997,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x5F,***AP***,0x869CC3FA,0x693979A4,,0xE5,63,0,61424,81,82944,,,,
08/09-17:44:03.417450 ,1,3069,1,IMAP fetch literal overflow attempt,TCP,10.5.13.2,48997,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x6D,***AP***,0x869CC5F3,0x693979DF,,0xE5,63,0,61426,95,97280,,,,
08/09-17:48:21.412457 ,1,3065,2,IMAP append literal overflow attempt,TCP,10.5.13.2,49652,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x5F,***AP***,0xF25DC655,0x1B5066D0,,0x3900,64,0,10327,81,82944,,,,
08/09-17:48:21.412457 ,1,3065,2,IMAP append literal overflow attempt,TCP,10.5.13.2,49652,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x6F,***AP***,0xF25DC645,0x1B5066D0,,0xE5,63,0,57643,97,99328,,,,
08/09-17:48:21.617673 ,1,3069,1,IMAP fetch literal overflow attempt,TCP,10.5.13.2,49652,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x446,***AP***,0xF25DC672,0x1B5066EE,,0xE5,63,0,57644,1080,57360,,,,
08/09-17:48:21.617673 ,1,3069,1,IMAP fetch literal overflow attempt,TCP,10.5.13.2,49652,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x6F,***AP***,0xF25DCA37,0x1B5066EE,,0x4400,64,0,10329,97,99328,,,,
08/09-17:49:43.450421 ,1,3065,2,IMAP append literal overflow attempt,TCP,10.5.13.2,49908,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x5C,***AP***,0x774DF1D7,0x31763E7A,,0xE5,63,0,34531,78,79872,,,,
08/09-17:49:43.492353 ,1,3069,1,IMAP fetch literal overflow attempt,TCP,10.5.13.2,49908,10.5.1.2,143,00:10:18:72:00:3C,00:16:3E:EF:36:38,0x3D2,***AP***,0x774DF1F1,0x31763F01,,0xE5,63,0,34533,964,200716,,,,
